YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
5,No,Man,Hybrid,501plus,No,Master,Yes,28832,Greece,Greece,1
1,Yes,Man,Hybrid,501plus,No,High School,Other,1000,Greece,Greece,1
1,Yes,Man,Remote,11to50,No,Bachelor,Yes,26000,Greece,Greece,2
23,No,Man,Hybrid,201to500,Yes,Bachelor,Yes,28000,Greece,Greece,3
2,No,Man,Hybrid,501plus,No,Bachelor,Yes,16500,Greece,Greece,1
8,Yes,Man,Remote,11to50,No,Bachelor,Yes,57899,Abroad,Greece,1
6,Yes,Man,Remote,501plus,Yes,High School,Other,24500,Greece,Greece,3
2,Yes,Man,Hybrid,1to10,No,Master,Other,9922,Greece,Greece,1
1,Yes,Man,Remote,101to200,No,Master,Yes,16000,Greece,Greece,2
16,No,Man,Remote,501plus,No,Master,Yes,55000,Greece,Greece,1
12,No,Man,Hybrid,201to500,No,Master,Yes,56906,Greece,Greece,1
15,Yes,Man,Hybrid,201to500,Yes,Master,Yes,35000,NA,Greece,2
5,No,Man,Hybrid,501plus,No,Master,Other,14000,Greece,Greece,2
5,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,24555,Greece,Greece,2
9,No,Man,Remote,201to500,No,Master,Yes,22000,Greece,Greece,3
3,Yes,Man,Remote,11to50,Yes,Bachelor,Yes,23000,Greece,Greece,2
3,Yes,Man,Hybrid,11to50,No,High School,Other,11186,Greece,Greece,3
5,No,Woman,Hybrid,501plus,Yes,Master,Yes,21500,Greece,Greece,1
2,No,Man,Hybrid,101to200,No,Bachelor,Yes,15400,Greece,Greece,3
5,Yes,Man,Hybrid,11to50,No,Bachelor,Yes,19600,Greece,Greece,1
4,Yes,Man,Remote,501plus,Yes,Master,Other,27000,Greece,Greece,1
3,Yes,Man,Hybrid,501plus,No,Master,Yes,50000,Abroad,Abroad,1
3,Yes,Man,Remote,101to200,No,PhD,Other,21000,Greece,Greece,1
10,No,Man,Remote,201to500,Yes,Bachelor,Yes,30000,Abroad,Greece,1
2,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,14000,Greece,Greece,1
4,Yes,Woman,Remote,201to500,No,High School,Other,45000,Abroad,Greece,1
1,Yes,Man,Remote,201to500,No,Bachelor,Yes,11500,Greece,Greece,1
3,No,Man,Hybrid,501plus,No,Bachelor,Yes,19500,Greece,Greece,1
1,No,Man,Remote,11to50,No,Bachelor,Other,22500,Greece,Greece,3
7,Yes,Man,Remote,101to200,No,Master,Yes,51000,Greece,Greece,3
12,No,Man,Onsite,1to10,Yes,Master,Yes,19400,Greece,Greece,2
7,No,Man,Hybrid,11to50,Yes,High School,Other,21800,Greece,Greece,1
5,Yes,Man,Hybrid,501plus,No,Master,Yes,29560,Greece,Greece,1
3,Yes,Man,Hybrid,501plus,No,Master,Yes,18205,Greece,Greece,1
6,Yes,Man,Remote,101to200,No,Bachelor,Yes,19600,Greece,Greece,1
2,Yes,Man,Hybrid,11to50,No,Bachelor,Other,11200,Greece,Greece,1
1,Yes,Man,Remote,201to500,No,Bachelor,Other,15400,Greece,Greece,1
2,Yes,Man,Hybrid,201to500,No,High School,Other,20010,Greece,Greece,2
9,No,Man,Remote,51to100,Yes,Post-secondary Education,Yes,40000,Abroad,Greece,1
3,No,Man,Hybrid,501plus,No,Master,Yes,11900,Greece,Greece,1
6,Yes,Man,Remote,51to100,Yes,Bachelor,Other,25200,Greece,Greece,1
5,Yes,Man,Remote,51to100,No,Master,Yes,35000,Greece,Greece,3
